starting_price,pid,seller_id,name,description,bid_expiry,category_id
70,1,6,Fall Colourful Painting,a fantasy art with colourfilled world,11/3/2021 19:10,2
3000,2,8, Old Japanese woodblock prints,an antique of chinese culture,12/22/2016 20:10,1
1000,3,14,Knoll Platner modern design chair,an unique design of chairfrom mid-20's,12/5/2021 19:10,1
300,4,22,Gustav Stickley Mission Oak (arts and crafts) bookcase,a bookcase made from oak tree with ancient books inside,11/12/2021 19:10,4
100,5,7,Toys from the 1960s,a collection of toys from 1960 along with some collectibles,10/1/2021 19:10,10
900,6,19, Michael Jordan 1986-87 Fleer rookie card ,a baseball card of a well known player back in 1960's,11/15/2021 19:10,10
1500,7,25,19th Century folk art optometrist store display,a rare sign board from ancient store,12/31/2021 19:10,6
20,8,24,Tin Hood Tires advertising sign,The most popular adverstising signs from 20th century,3/13/2020 19:10,6
2000,9,17,1911 St Gaudens gold coin,a previous gold coin used in early 19's,6/22/2016 19:10,9
5000,10,13,Old Harley Davidson polo car,The most popular and extinct car model,2/20/2022 19:10,3
50,11,16,fierceful lion,The fierce look of alion in form of art,11/7/2021 19:10,2
60,12,8,Woman Sitting by window,An animated look of how a  woman sitting near window,11/10/2021 19:10,2
